index_on_page,tweet_id,tweet_permalink_path,in_reply_to_user,in_reply_to_tweet,quoted_tweet_id,user_screen_name,user_id,user_name,user_location,user_timezone,user_lang,user_bio,user_image_url,date_time,tweet_date,coordinates_long,coordinates_lat,country,location_fullname,location_name,location_type,raw_text,clear_text,user_verified,hashtags,responses_to_tweeter,urls,user_mentions,tweet_language,filter_level,is_retweet,is_quote,is_reply,is_referenced,retweeted_tweet_id,retweeted_user_id,retweeter_ids,is_message,has_image,media_link,has_video,has_link,links,expanded_links,retweets,quotes,favorites,replies,source,mentions_of_tweeter,context_annotations,possibly_sensitive,conversation_id,withheld_copyright,withheld_in_countries,withheld_scope,is_protected_or_deleted,retweeter_api_cursor,views,blue_verified,video_views,user_geo_enabled
75,2049982999291154875,https://x.com/TerribleId59801/status/2049982999291154875,ExplosiveMediaa,2049911158132363638,,TerribleId59801,1933335731721711616,,"Atlanta, GA",,,"Hoping for peace for all, and justice for the harmed.

Random mockery for shaming those who say hateful things. 🇮🇱",https://pbs.twimg.com/profile_images/1956894802177376256/Oe1VQLQU_normal.jpg,2026-05-01 01:43:28,2026-05-01 00:00:00,,,,,,,"@ExplosiveMediaa Well when you have @KariLake as its leader, what do you expect?","@ExplosiveMediaa Well when you have @KariLake as its leader, what do you expect?",0,,,,ExplosiveMediaa KariLake,en,,,,1,,,,,,,,,,,,0,0,0,0,Twitter for iPhone,,,,,,,,,,23,1,0,0
76,2049900160340361412,https://x.com/castaneda_dfo/status/2049900160340361412,ExplosiveMediaa,2049891608192049177,,castaneda_dfo,839106007280177153,,"Metro Manila, Philippines",,,Christian. Father. Son. Filipino. Multipolar World.,https://pbs.twimg.com/profile_images/1607804918479589377/_z1S-R_x_normal.jpg,2026-04-30 20:14:18,2026-04-30 00:00:00,,,,,,,@ExplosiveMediaa 🇮🇷♥️,@ExplosiveMediaa 🇮🇷♥️,0,,,,ExplosiveMediaa,qme,,,,1,,,,,,,,,,,,0,0,0,0,Twitter for Android,,,,,,,,,,48,0,0,0
77,2049915671203496348,https://x.com/Jordan7th/status/2049915671203496348,,,2049891608192049177,Jordan7th,22903712,,🗺,,,,https://pbs.twimg.com/profile_images/1955309668923854848/kijMDUAC_normal.jpg,2026-04-30 21:15:56,2026-04-30 00:00:00,,,,,,,How the ain't sinking little duck gonna sink? It is beyond imagination. Well done🐤💛!,How the ain't sinking little duck gonna sink? It is beyond imagination. Well done🐤💛!,0,,,,,en,,,1,,,,,,,,,,,,,0,0,0,0,Twitter for Android,,,,,,,,,,16,1,0,0
78,2050004605430304824,https://x.com/b_natou/status/2050004605430304824,ExplosiveMediaa,2049891608192049177,,b_natou,752216155973120000,,"Montréal, Québec",,,"Soutien à la Palestine et à l'Ukraine
⚜ indépendantiste ⚜
(image de profil : ""Exodus"" de  Cathy Wilcox. https://t.co/mp1OFnaeXf)",https://pbs.twimg.com/profile_images/1725216608228962304/Xd5ZmdBI_normal.jpg,2026-05-01 03:09:19,2026-05-01 00:00:00,,,,,,,"@ExplosiveMediaa I understand the use of the duck to represent the US Navy (or the military ""Rubber Duck"").
But I was still shocked; it's so closely associated with Alexei Navalny, and your choice of duck is rather insensitive. 🥴 https://t.co/7lbV4fa3Pt","@ExplosiveMediaa I understand the use of the duck to represent the US Navy (or the military ""Rubber Duck"").
But I was still shocked; it's so closely associated with Alexei Navalny, and your choice of duck is rather insensitive. 🥴 https://t.co/7lbV4fa3Pt",0,,,,ExplosiveMediaa,en,,,,1,,,,,,1,https://pbs.twimg.com/media/HHMTBh4XIAArTzj.png https://pbs.twimg.com/media/HHMULmEXwAAqtLz.png,,,,,0,0,0,0,Twitter Web App,,,,,,,,,,30,1,0,0
79,2049878887950151714,https://x.com/nosoyyo7/status/2049878887950151714,DropSiteNews,2049866230526345458,,nosoyyo7,400884956,,🌎,,,Feminist (the only kind); Missing Magdalen Berns; Vegan Starchivore; Anti-capitalist; US out of: 🗺️; GIF-Phobic; Don’t ask Grøk,https://pbs.twimg.com/profile_images/915363354285355012/AwhhtJqB_normal.jpg,2026-04-30 18:49:46,2026-04-30 00:00:00,,,,,,,@DropSiteNews @ExplosiveMediaa You said “Iran’s latest” while QT-ing your interview of Explosive Media. U certainly implied it was same people. You asked ExplosiveM about “the DM’s” which was in the lyrics from a video perhaps by this same group &amp; def not Explosive Media. Was this one even done by Iranians?,@DropSiteNews @ExplosiveMediaa You said “Iran’s latest” while QT-ing your interview of Explosive Media. U certainly implied it was same people. You asked ExplosiveM about “the DM’s” which was in the lyrics from a video perhaps by this same group &amp; def not Explosive Media. Was this one even done by Iranians?,0,,,,DropSiteNews ExplosiveMediaa,en,,,,1,,,,,,,,,,,,0,0,1,2,Twitter for iPhone,,,,,,,,,,171,0,0,0
80,2050000758951543202,https://x.com/Noor_Vatan/status/2050000758951543202,ExplosiveMediaa,2049900661081293116,,Noor_Vatan,1753870111100866560,,,,,Strength in the heart; Vatan in the soul. 💚🕊️♥️,https://pbs.twimg.com/profile_images/2011310622487502848/7OyguujX_normal.jpg,2026-05-01 02:54:02,2026-05-01 00:00:00,,,,,,,@ExplosiveMediaa @Iran_in_India 🔥,@ExplosiveMediaa @Iran_in_India 🔥,0,,,,ExplosiveMediaa Iran_in_India,qme,,,,1,,,,,,,,,,,,0,0,0,0,Twitter for iPhone,,,,,,,,,,9,0,0,0
81,2049962220172263677,https://x.com/2014Saihat/status/2049962220172263677,ExplosiveMediaa,2049956261009990016,,2014Saihat,2324495340,,,,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2026-05-01 00:20:54,2026-05-01 00:00:00,,,,,,,@ExplosiveMediaa @KUTUBProduction Done,@ExplosiveMediaa @KUTUBProduction Done,0,,,,ExplosiveMediaa KUTUBProduction,en,,,,1,,,,,,,,,,,,0,0,0,0,Twitter for Android,,,,,,,,,,12,0,0,0
82,2049897857583653211,https://x.com/v30903/status/2049897857583653211,,,,v30903,1664405585998249986,,,,,"""As long as you are standing, give a hand to those who have fallen.""
- Persian Proverb #WomanLifeFreedom",https://pbs.twimg.com/profile_images/1934834024423542789/wAUSa77h_normal.jpg,2026-04-30 20:05:09,2026-04-30 00:00:00,,,,,,,https://t.co/pWunQam0Bl,https://t.co/pWunQam0Bl,0,,,,,zxx,,,,,,,,,,,https://pbs.twimg.com/ext_tw_video_thumb/2049891545004769280/pu/img/UAP0L6TyiQHJAoDz.jpg,1,,,,0,0,0,0,Twitter for iPhone,,,,,,,,,,5,0,0,0
83,2049928285296202057,https://x.com/mmahoooooit/status/2049928285296202057,AreebaFatimaa,2049303517316174281,2049900376954974527,mmahoooooit,25111140,,earth ,,,🇵🇸 #CEASEFIRENOW / maybe make white collar crime illegal again 🧟‍♂️ / there is no peak bullshit.,https://pbs.twimg.com/profile_images/1525568909889441794/HYKYHg59_normal.jpg,2026-04-30 22:06:03,2026-04-30 00:00:00,,,,,,,@AreebaFatimaa @ExplosiveMediaa @ryangrim @DropSiteNews 🤗,@AreebaFatimaa @ExplosiveMediaa @ryangrim @DropSiteNews 🤗,0,,,,AreebaFatimaa ExplosiveMediaa ryangrim DropSiteNews,qme,,,1,1,,,,,,,,,,,,0,0,1,0,Twitter for iPad,,,,,,,,,,30,0,0,0
84,2049900376954974527,https://x.com/ryangrim/status/2049900376954974527,,,2047056392767336931,ryangrim,16170253,,washington,,,"Reporter at @DropSiteNews - Author of ""We've Got People,” “The Squad,” and “This Is Your Country On Drugs.” Co-host of Breaking Points. Signal: cherrygarcia.01",https://pbs.twimg.com/profile_images/2013721171095699456/0jmHxbH2_normal.jpg,2026-04-30 20:15:09,2026-04-30 00:00:00,,,,,,,"We recently interviewed one of the guys on the Explosive Media Lego team and he said that, surprisingly, their attitude toward the American people has significantly *improved* throughout this conflict, as they have come to recognize that both they and we are subjects of the","We recently interviewed one of the guys on the Explosive Media Lego team and he said that, surprisingly, their attitude toward the American people has significantly *improved* throughout this conflict, as they have come to recognize that both they and we are subjects of the",0,,,,,en,,,1,,,,,,,,,,,,,1266,16,6089,88,Twitter Web App,,,,,,,,,,220546,1,0,0
